0.000000000000000000e+00,2.650325040454908958e+02,6.430874146973072493e+04,-1.641206160208409128e+05,-2.530993975044313120e+05,-2.248690520445715890e+02,3.529144748114162940e+05,1.000000000000000000e+00
2.000000000000000042e-03,2.919534084914753862e+02,6.427504893974262086e+04,-1.641250665524691867e+05,-2.530701125369188958e+05,-2.727350610891935503e+02,3.529328677898194874e+05,1.000000000000000000e+00
4.000000000000000083e-03,2.919541800232449305e+02,6.427504933376923145e+04,-1.641250672414890723e+05,-2.530701122504101368e+05,-2.727342627185687434e+02,3.529328677700997796e+05,1.000000000000000000e+00
6.000000000000000125e-03,2.919549705772782318e+02,6.427504976966777758e+04,-1.641250679198234575e+05,-2.530701121336469951e+05,-2.727334765486893389e+02,3.529328676193919964e+05,1.000000000000000000e+00
8.000000000000000167e-03,2.919557617697445835e+02,6.427505020545205480e+04,-1.641250685977936373e+05,-2.530701120167324843e+05,-2.727326897279730247e+02,3.529328674690870102e+05,1.000000000000000000e+00
1.000000000000000021e-02,2.919565535641883685e+02,6.427505064108095394e+04,-1.641250692753171024e+05,-2.530701118998424208e+05,-2.727319022982211436e+02,3.529328673190238769e+05,1.000000000000000000e+00
1.200000000000000025e-02,2.919573459606630195e+02,6.427505107655411121e+04,-1.641250699523933290e+05,-2.530701117829773575e+05,-2.727311142593880504e+02,3.529328671692021890e+05,1.000000000000000000e+00
1.400000000000000029e-02,2.919581389592391361e+02,6.427505151187116280e+04,-1.641250706290217640e+05,-2.530701116661381966e+05,-2.727303256114223018e+02,3.529328670196212479e+05,1.000000000000000000e+00
1.600000000000000033e-02,2.919589325599849872e+02,6.427505194703178131e+04,-1.641250713052018255e+05,-2.530701115493257821e+05,-2.727295363542743303e+02,3.529328668702804134e+05,1.000000000000000000e+00
1.800000000000000211e-02,2.919597267629671364e+02,6.427505238203560293e+04,-1.641250719809329312e+05,-2.530701114325409580e+05,-2.727287464878966716e+02,3.529328667211791035e+05,1.000000000000000000e+00
2.000000000000000042e-02,2.919605215682496464e+02,6.427505281688222749e+04,-1.641250726562144409e+05,-2.530701113157845684e+05,-2.727279560122440216e+02,3.529328665723165614e+05,1.000000000000000000e+00
2.199999999999999872e-02,2.919613169758945901e+02,6.427505325157134939e+04,-1.641250733310458309e+05,-2.530701111990574282e+05,-2.727271649272729519e+02,3.529328664236922632e+05,1.000000000000000000e+00
2.400000000000000050e-02,2.919621129859621078e+02,6.427505368610258301e+04,-1.641250740054264606e+05,-2.530701110823604104e+05,-2.727263732329420804e+02,3.529328662753055687e+05,1.000000000000000000e+00
2.600000000000000228e-02,2.919629095985099525e+02,6.427505412047555001e+04,-1.641250746793557482e+05,-2.530701109656943590e+05,-2.727255809292122422e+02,3.529328661271557212e+05,1.000000000000000000e+00
2.800000000000000058e-02,2.919637068135939444e+02,6.427505455468990112e+04,-1.641250753528331406e+05,-2.530701108490600600e+05,-2.727247880160461477e+02,3.529328659792422550e+05,1.000000000000000000e+00
2.999999999999999889e-02,2.919645046312678005e+02,6.427505498874527257e+04,-1.641250760258579976e+05,-2.530701107324583863e+05,-2.727239944934086111e+02,3.529328658315644134e+05,1.000000000000000000e+00
3.200000000000000067e-02,2.919653030515827368e+02,6.427505542264130781e+04,-1.641250766984297661e+05,-2.530701106158901530e+05,-2.727232003612668336e+02,3.529328656841216143e+05,1.000000000000000000e+00
3.400000000000000244e-02,2.919661020745884343e+02,6.427505585637760669e+04,-1.641250773705477768e+05,-2.530701104993561748e+05,-2.727224056195894946e+02,3.529328655369132757e+05,1.000000000000000000e+00
3.600000000000000422e-02,2.919669017003316753e+02,6.427505628995384177e+04,-1.641250780422115640e+05,-2.530701103828572959e+05,-2.727216102683480585e+02,3.529328653899386991e+05,1.000000000000000000e+00
3.799999999999999906e-02,2.919677019288577640e+02,6.427505672336962743e+04,-1.641250787134204584e+05,-2.530701102663943020e+05,-2.727208143075154680e+02,3.529328652431973023e+05,1.000000000000000000e+00
4.000000000000000083e-02,2.919685027602092759e+02,6.427505715662459261e+04,-1.641250793841738487e+05,-2.530701101499680371e+05,-2.727200177370673941e+02,3.529328650966884452e+05,1.000000000000000000e+00
4.200000000000000261e-02,2.919693041944269680e+02,6.427505758971836622e+04,-1.641250800544712110e+05,-2.530701100335792871e+05,-2.727192205569811563e+02,3.529328649504115456e+05,1.000000000000000000e+00
4.399999999999999745e-02,2.919701062315492663e+02,6.427505802265059174e+04,-1.641250807243119052e+05,-2.530701099172288668e+05,-2.727184227672363477e+02,3.529328648043659632e+05,1.000000000000000000e+00
4.599999999999999922e-02,2.919709088716122096e+02,6.427505845542089810e+04,-1.641250813936953782e+05,-2.530701098009175912e+05,-2.727176243678148921e+02,3.529328646585510578e+05,1.000000000000000000e+00
